article_id,stratum_sector,stratum_sentiment,predicted_sentiment_finbert,predicted_sector,predicted_risk_categories,predicted_evidence_sentence,finbert_confidence,p_positive,p_neutral,p_negative
rss-85947c545b9bee40,Real Estate,neutral,neutral,Real Estate,,"(""Prologis"") today published an investor presentation setting out the strategic and financial rationale for the proposed combination and the value Prologis believes it could create for SEGRO shareholders.",0.745,0.246,0.745,0.009
rss-0e32fcc77a10546b,Consumer Discretionary,neutral,neutral,Consumer Discretionary,valuation risk,One of the biggest issues already poking its head through is the multiple instances of automated vehicles driving through or ...,0.766,0.124,0.766,0.11
rss-4bdd09e65aae3369,Utilities,positive,positive,Utilities,,"PPL's balanced portfolio and regulated utilities support decarbonization, stable cash flows and long-term earnings growth as electricity demand rises.",0.897,0.897,0.094,0.008
rss-94ab24dc1f2f1899,Industrials,positive,positive,Industrials,,"For investors tracking Boeing (NYSE:BA), this cargo deal with China Southern Airlines reopens a key commercial channel in the world's second largest aviation market.",0.603,0.603,0.29,0.107
rss-9a8db6b48a462874,Consumer Discretionary,positive,positive,Consumer Discretionary,,"Despite the lack of earnings, Tesla stock was up about 65% since the Austin launch, coming into Thursday.",0.558,0.558,0.427,0.015
rss-bd02ef851356b628,Technology,neutral,neutral,Technology,,"Full story available on Benzinga.com FOSTER CITY, Calif., June 18, 2026 (GLOBE NEWSWIRE) -- Geron Corporation (NASDAQ: GERN ), a commercial stage biopharmaceutical company, today reported that, effective June 17, 2026, it granted stock options to purchase an aggregate of 690,000 shares of common stock to eight newly hired employees as an inducement material to such employees' acceptance of employment with Geron.",0.842,0.137,0.842,0.022
rss-88bd7f5d0fd2ae72,Healthcare,negative,negative,Healthcare,,"Healthcare stocks were lower late Friday afternoon, with the NYSE Healthcare Index decreasing 0.7% a Healthcare stocks were lower late Friday afternoon, with the NYSE Healthcare Index decreasing 0.7% a",0.974,0.009,0.018,0.974
rss-ad08d1f1b455381b,Consumer Staples,positive,positive,Consumer Staples,,"Costco has expanded its digital wallet feature, allowing members to link any Visa card to the Costco app for faster checkout at registers.",0.905,0.905,0.087,0.008
rss-d8535d69b3a2bcc4,Unmapped,positive,positive,Unmapped,,Jefferies flags buying opportunities as Iran conflict reshapes European energy,0.783,0.783,0.193,0.024
rss-90de85a493b60bee,Communication Services,negative,negative,Communication Services,interest rate risk,"Three of the market’s most widely held high-yield names are about to lock their next payment rosters, and the buy-by deadlines are close enough that a delayed brokerage order could push readers a full quarter down the line before the next check clears.",0.497,0.051,0.452,0.497
rss-983fd826ab753013,Real Estate,positive,positive,Real Estate,,"Macerich benefits from demand for Class A mall space as redevelopments, anchor reuse and selective acquisitions aim to lift growth despite digital and tenant pressures.",0.946,0.946,0.042,0.012
rss-c231ef64bfd2f613,Consumer Staples,negative,negative,Consumer Staples,,"Costco Wholesale Corporation (NASDAQ:COST, XETRA:CTO) shares fell about 4% to $913 on Wednesday after the warehouse retailer reported a moderation in June comparable sales growth, though Bank of America analysts maintained their ‘Buy’ rating, arguing the company's value-focused strategy and...",0.974,0.01,0.016,0.974
rss-17604e6857cd3981,Consumer Discretionary,negative,negative,Consumer Discretionary,valuation risk,Wall Street Slides After Trump's Iran Warning Ignites Oil Rally.,0.958,0.008,0.033,0.958
rss-a7e6a95b7ae2177c,Industrials,neutral,neutral,Industrials,,An Equipment Provider for Semiconductor Makers and a Global Construction and Mining Company Known for Iconic Yellow Machines in Focus.,0.72,0.267,0.72,0.013
rss-9dfb6218f74cd029,Unmapped,neutral,neutral,Unmapped,,-- Barron's Moomoo,0.561,0.038,0.561,0.401
rss-0de333a8c80aadaf,Utilities,neutral,neutral,Utilities,,"Warsh’s words are already fighting inflation, Qualcomm diversifies from smartphones, Conagra has a new CEO, and more news to start your day.",0.681,0.299,0.681,0.02
rss-eddaa6c5ddd21c54,Consumer Staples,neutral,neutral,Consumer Staples,interest rate risk,"A $1 million portfolio generating $100,000 in annual income requires a blended yield of 10%.",0.775,0.196,0.775,0.029
rss-1950549fc790decc,Communication Services,positive,positive,Communication Services,,"Datadog joins three other Internet stocks positioned for AI-led growth as cloud demand, enterprise adoption and platform innovation gather pace in 2026.",0.857,0.857,0.135,0.009
rss-cf01199435cd1fe0,Technology,positive,positive,Technology,valuation risk,listing has narrowed its valuation gap with rival Micron Technology.,0.463,0.463,0.424,0.113
rss-a068954cb72c2a22,Financials,negative,negative,Financials,,Citi cut the price target on Noble Corporation plc (NYSE:NE) to $45 from $52 on June 30 and maintained a Neutral rating on the shares.,0.401,0.24,0.36,0.401
rss-d304e6da274fa6d5,Energy,positive,positive,Energy,,"CVX's 20-year Microsoft power deal taps AI data center demand, adding a potential long-term cash flow stream beyond its core oil business.",0.798,0.798,0.188,0.015
rss-628b2802f131ae36,Real Estate,negative,negative,Real Estate,interest rate risk;liquidity risk,"The 10-year Treasury yield sits at 4%, down from its May 19 peak of 5%, and the Fed Funds upper bound has held at 4% for six months after two cuts in late 2025.",0.564,0.17,0.267,0.564
rss-d5c105c9fd5eb82e,Materials,neutral,neutral,Materials,,"At the 2026 Tandem Global Conference in Austin, Texas, leaders from business, government, ...",0.886,0.091,0.886,0.024
rss-98fbf11ce957dc87,Energy,negative,negative,Energy,,"Some cash-heavy businesses struggle with inefficient spending, slowing demand, or weak competitive positioning.",0.52,0.415,0.065,0.52
rss-af256bd16ea81cbe,Materials,positive,positive,Materials,commodity risk,"Chile approves early-stage work, supporting BHP's long-term copper expansion strategy at its flagship Escondida mine.",0.936,0.936,0.052,0.012
rss-6373d81727a51184,Healthcare,positive,positive,Healthcare,,"The IMAAVY update lands at a time when Johnson & Johnson shares have strong momentum, with an 11.41% 30 day share price return and a 25.07% year to date share price return, alongside a 71.19% 1 year total shareholder...",0.584,0.584,0.388,0.028
rss-c2b07da357aff1f0,Financials,positive,positive,Financials,,BofA Securities analyst Tal Llani assigned Figma a Buy rating with a $30 price target and gave Adobe an Underperform rating with a $190 target.,0.651,0.651,0.289,0.06
rss-e6f0044899de7af6,Industrials,negative,negative,Industrials,,"Investing.com -- Federal Aviation Administration workers cannot purchase or own shares in SpaceX following the company's public debut earlier this month, Politico reported Tuesday citing an internal agency document.",0.638,0.018,0.344,0.638
rss-08c35086a7776fdf,Financials,neutral,neutral,Financials,,EagleBank taps former Wells Fargo exec to lead new capital markets division The Business Journals EagleBank taps former Wells Fargo exec to lead new capital markets division The Business Journals,0.949,0.031,0.949,0.02
rss-3f887dd363410eab,Energy,neutral,neutral,Energy,liquidity risk,"completed a US$300,000,000 offering of 6.5% convertible notes due 2031 and a US$100,000,002 follow-on common stock sale at US$3.08 per share, both aimed at refinancing its senior secured term loan with Exxon Mobil.",0.525,0.246,0.525,0.229
rss-efa8e2988c4f2c41,Unmapped,negative,negative,Unmapped,earnings risk,Vestas Wind Systems stock slumps as company says margins to be at low end of guidance,0.971,0.009,0.02,0.971
rss-439df5e05aeee7fd,Communication Services,neutral,neutral,Communication Services,,Schwab U.S.,0.815,0.143,0.815,0.042
rss-53a625b259400415,Technology,negative,negative,Technology,,China said specific versions of Claude Code posed back-door vulnerabilities that could send sensitive information to a remote server.,0.763,0.023,0.213,0.763
rss-ae0ea91c47268dbf,Materials,negative,negative,Materials,,"Most tech stocks are having another great year, leading to worries that market-tracking index funds are overvalued and far too concentrated.",0.495,0.026,0.479,0.495
rss-f7498f809e7840df,Healthcare,neutral,neutral,Healthcare,,"Five hundred dollars a month is not enough to replace a paycheck, but it can cover a real bill: a used-car payment, a utility-heavy month, or a meaningful slice of grocery spending.",0.897,0.061,0.897,0.042
rss-c9edc104a2174227,Real Estate,neutral,neutral,Real Estate,,"KEY INFORMATION (a) Full name of discloser:Jupiter Fund Management Plc(b) Owner or controller of interests and short positions disclosed, if different from 1(a): The naming of nominee or vehicle companies is insufficient.",0.948,0.021,0.948,0.031
rss-663256424673815f,Consumer Discretionary,neutral,neutral,Consumer Discretionary,,Check out the companies making headlines yesterday: Check out the companies making headlines yesterday:,0.932,0.047,0.932,0.021
rss-99ccce822cd9805f,Utilities,positive,positive,Utilities,,"The Duke Energy Foundation is awarding $773,000 to 22 nonprofit organizations and higher education institutions working to strengthen STEM education by expanding access to hands-on learning opportunities and helping prepare Florida students for careers in high-demand industries.",0.851,0.851,0.139,0.009
rss-2c7474a6bc95a9bb,Industrials,positive,positive,Industrials,valuation risk,"Caterpillar stock has delivered a very large 389.9% return over the past five years, yet valuation checks now point in different directions, with the Discounted Cash Flow (DCF) intrinsic value estimate indicating a premium while earnings-based multiples still look supportive.",0.604,0.604,0.371,0.025
rss-c6cd4efac02c9c90,Consumer Discretionary,positive,positive,Consumer Discretionary,,"Amazon.com's AI push, global expansion and diversified businesses support growth, but rising AI spending, debt and competition pose challenges.",0.544,0.544,0.133,0.322
rss-0c02166274863a5b,Technology,neutral,neutral,Technology,valuation risk,"The chipmaker's premium valuation melts away when you look at what analysts expect it to earn, but that discount depends entirely on the growth arriving.",0.762,0.05,0.762,0.189
rss-56c06a1aca3fff64,Healthcare,negative,negative,Healthcare,,"A bipartisan group of United States lawmakers has opened national security investigations into whether five major pharmaceutical companies, including Merck and AbbVie, were involved in clinical trials conducted in China that may have supported the country’s military capabilities, according to a...",0.487,0.118,0.395,0.487
rss-436f705b7c9f3af2,Consumer Staples,positive,positive,Consumer Staples,,"Costco reported net sales of $29.24 billion for the five weeks ended July 5, 2026, a 10.6% increase from $26.44 billion a year earlier.",0.836,0.836,0.023,0.141
rss-b181054ea57ddc88,Unmapped,positive,positive,Unmapped,liquidity risk,"Ant has led a 500 million yuan ($73.59 million) funding round in humanoid robotics company Zeroth, the start-up announced Thursday.",0.68,0.68,0.312,0.008
rss-bee63ae47b116a08,Communication Services,negative,negative,Communication Services,,"Netflix (NASDAQ:NFLX) is considering the introduction of live television channels and expanded streaming bundles as executives increasingly focus on signs of weakening subscriber engagement, according to a Wall Street Journal report published on Friday.",0.87,0.062,0.069,0.87
rss-2d111ded2f37ea32,Real Estate,positive,positive,Real Estate,,"Regency Centers has underperformed the S&P 500 over the past year, but analysts are moderately optimistic about the stock’s prospects.",0.64,0.64,0.051,0.31
rss-799f1bde27981843,Consumer Staples,negative,negative,Consumer Staples,,"Coca-Cola (KO) closed at $82.55 in the latest trading session, marking a -1.02% move from the prior day.",0.52,0.465,0.016,0.52
rss-eef9743f4030db52,Consumer Discretionary,negative,negative,Consumer Discretionary,,These AI stocks sell for low valuations relative to their growth rates.,0.558,0.035,0.407,0.558
rss-441030ecdba2239b,Industrials,neutral,neutral,Industrials,,"According to the average brokerage recommendation (ABR), one should invest in Boeing (BA).",0.862,0.096,0.862,0.042
rss-8216aca62059a28a,Unmapped,neutral,neutral,Unmapped,,"Nuclear power provides reliable baseload power, which is increasingly important as demand for electricity skyrockets.",0.853,0.128,0.853,0.018
rss-7d3d9cd2a267bc12,Utilities,neutral,neutral,Utilities,interest rate risk;earnings risk,Dividend yield is the trailing-12-month distribution yield.,0.714,0.24,0.714,0.046
rss-582b0aca44ddb24d,Consumer Staples,neutral,neutral,Consumer Staples,,Costco (COST) has received quite a bit of attention from Zacks.com users lately.,0.798,0.163,0.798,0.039
rss-bc9eaffe1f3b638f,Communication Services,positive,positive,Communication Services,,Meta's New AI Image Model Gives Investors Another Reason to Watch the Stock Meta's New AI Image Model Gives Investors Another Reason to Watch the Stock,0.835,0.835,0.154,0.011
