article_id,stratum_sector,stratum_sentiment,predicted_sentiment_finbert,predicted_sector,predicted_risk_categories,predicted_evidence_sentence,finbert_confidence,p_positive,p_neutral,p_negative
rss-57961da405abee00,Financials,positive,positive,Financials,macro risk,"Fintech leaders are in focus as AI, digital payments and cloud adoption reshape financial services, with five transaction stocks highlighted for growth.",0.761,0.761,0.226,0.014
rss-03c69724a73231f0,Healthcare,positive,positive,Healthcare,macro risk,"These elevated prices usually indicate some degree of investor confidence, business improvements, or favorable market conditions.",0.552,0.552,0.405,0.042
rss-0b454ba12e11c62f,Industrials,negative,negative,Industrials,liquidity risk,"Many companies are years from profitability, and funding risk remains.",0.492,0.209,0.298,0.492
rss-f8b4ee19fde18ab3,Energy,positive,positive,Energy,commodity risk,and Iran sent crude prices sharply higher and boosted investor appetite for oil producers.,0.687,0.687,0.168,0.146
rss-1b26a4a518f5f6f8,Industrials,positive,positive,Industrials,macro risk,"In the latest trading session, Caterpillar (CAT) closed at $938.39, marking a -1.02% move from the previous day.",0.702,0.702,0.021,0.276
rss-3a3beec40efca718,Materials,negative,negative,Materials,commodity risk,"This setback raises questions about execution risk in BHP’s push to diversify beyond its core copper and iron ore operations, and how future capital might be prioritised across its growth pipeline.",0.651,0.03,0.319,0.651
rss-e8f13ef6714e9c6c,Consumer Staples,negative,negative,Consumer Staples,macro risk,"President Trump praised Walmart and said the lower prices are the result of ""my Administration's request to celebrate our great Country's 250th birthday."" President Trump praised Walmart and said the lower prices are the result of ""my Administration's request to celebrate our great Country's 250th birthday.""",0.806,0.086,0.108,0.806
rss-4d301c15d32b4d7b,Industrials,neutral,neutral,Industrials,macro risk,Caterpillar (CAT) has received quite a bit of attention from Zacks.com users lately.,0.749,0.216,0.749,0.036
rss-54d47cdd1c831899,Utilities,neutral,neutral,Utilities,macro risk,"Georgia Power has opened enrollment for the new Clean and Renewable Energy Subscription Customer Identified Resource (CARES CIR) program, which the Georgia Public Service Commission (PSC) approved in the 2025 Integrated Resource Plan (IRP) stipulated agreement.",0.588,0.402,0.588,0.009
rss-269a9bdd97f893cf,Technology,positive,positive,Technology,macro risk,"Cerebras CEO Andrew Feldman says AI compute suppliers are not building on speculation but chasing orders already under contract, and the companies moving fastest to secure power and pour concrete may be sitting on the greatest opportunity since the internet itself.",0.666,0.666,0.295,0.039
rss-90d8992f545666da,Consumer Staples,neutral,neutral,Consumer Staples,macro risk,The company has a deep commitment to dividends.,0.762,0.229,0.762,0.009
rss-ddf67887de686705,Communication Services,negative,negative,Communication Services,macro risk,"Shareholders have lost 15.1% of their capital, which is disappointing considering the S&P 500 has climbed by 8.4%.",0.965,0.011,0.024,0.965
rss-220344c281711619,Healthcare,negative,negative,Healthcare,macro risk,"The stock is down over the past month and quarter, while the 1-year total...",0.375,0.315,0.309,0.375
rss-1bae5f0797b8ed33,Unmapped,negative,negative,Unmapped,macro risk,What happens to their workers?,0.685,0.022,0.292,0.685
rss-62265d5a7e04117a,Unmapped,neutral,neutral,Unmapped,macro risk,The South Korean memory company’s new American depositary receipts begin trading on Friday.,0.692,0.266,0.692,0.041
rss-969b04818267bade,Technology,negative,negative,Technology,macro risk,"Allianz Partners will axe between 1,500 and 1,800 roles from its workforce of close to 23,000 Allianz Partners will axe between 1,500 and 1,800 roles from its workforce of close to 23,000",0.948,0.012,0.039,0.948
rss-20ff0abdf03db968,Energy,neutral,neutral,Energy,macro risk,ET (10:00 a.m.,0.918,0.032,0.918,0.05
rss-3a0ba6067b9bfcea,Materials,positive,positive,Materials,macro risk,"will release its second-quarter earnings later this month, and analysts anticipate a robust triple-digit bottom-line growth.",0.495,0.495,0.472,0.033
rss-ab2f214b10a44950,Energy,negative,negative,Energy,commodity risk,"On July 8, 2026, a reescalation of U.S.-Iran tensions sent crude surging and equities tumbling across all three major indexes.",0.951,0.015,0.034,0.951
rss-c5e539379fdb38a2,Communication Services,neutral,neutral,Communication Services,macro risk,"Self-improving models are reshaping the AI race as OpenAI, Anthropic, Google and others pursue superintelligence.",0.777,0.21,0.777,0.013
rss-e99fff411be4db99,Communication Services,positive,positive,Communication Services,macro risk,Investors have a rare opportunity to buy Netflix stock at a discount to the broader market.,0.498,0.498,0.482,0.02
rss-8d7092ed97962657,Real Estate,neutral,neutral,Real Estate,interest rate risk,"Real estate investment trusts, or REITs, are a special class of stocks known for their high dividend yields.",0.92,0.055,0.92,0.025
rss-4040c9014d4d9ba8,Healthcare,neutral,neutral,Healthcare,macro risk,Investors continued to pump money into select companies backed by business developments rather than broad market trends.,0.61,0.307,0.61,0.083
rss-7722b7153488135b,Real Estate,positive,positive,Real Estate,macro risk,"Prologis, a large logistics real estate company, is seeking to expand its European footprint through an all stock bid for Segro.",0.445,0.445,0.442,0.113
rss-1a3b772d3a99020c,Consumer Staples,positive,positive,Consumer Staples,macro risk,"That is what Costco (NASDAQ:COST) rang up in revenue for fiscal year 2025, representing a +8.17% year-over-year haul that pushed the warehouse operator past a quarter-trillion dollars in annual sales.",0.885,0.885,0.1,0.015
rss-75e8d17f262de243,Consumer Discretionary,neutral,neutral,Consumer Discretionary,macro risk,"The Mad Money host commented: Did the stock of Nike deserve to run 5% on a beat quarter, with no raise, no […] NIKE, Inc.",0.612,0.258,0.612,0.13
rss-d1d745e682213cf3,Consumer Discretionary,negative,negative,Consumer Discretionary,macro risk,The biggest fear surrounding artificial intelligence is that it will replace workers.,0.593,0.076,0.331,0.593
rss-fed36ce2401b7319,Technology,neutral,neutral,Technology,macro risk,"Management now champions a new portfolio of 'growth engines,' but the story they quietly shelved was powered by a flagship product whose once-explosive growth has started to cool.",0.697,0.19,0.697,0.112
rss-f32591169fe8ce7f,Utilities,positive,positive,Utilities,interest rate risk,"DUK edges CEG on earnings estimates, dividend yield, capital plans, valuation and six-month share gains as clean power demand rises.",0.625,0.625,0.342,0.032
rss-9ff6d0a533105082,Unmapped,positive,positive,Unmapped,macro risk,"The Commerce Department will favorably review exports involving MGX, which used a stablecoin linked to President Trump's family for a $2B Binance investment.",0.727,0.727,0.165,0.108
rss-d00fb4f9bdb65dc2,Financials,negative,negative,Financials,macro risk,"Financial stocks were leaning lower pre-bell Monday, with the State Street Financial Select Sector S Financial stocks were leaning lower pre-bell Monday, with the State Street Financial Select Sector S",0.953,0.022,0.026,0.953
rss-1f43130b9a889f49,Materials,neutral,neutral,Materials,commodity risk,The United States Oil Fund (NYSEARCA:USO) does one thing: it gives investors a liquid way to bet on West Texas Intermediate crude without opening a futures account.,0.677,0.237,0.677,0.086
rss-01daeda783532b0a,Financials,neutral,neutral,Financials,macro risk,"While Micron stock eked briefly into positive territory Friday, it was down for most of the session as SK Hynix American depositary receipts shot above their initial public offering price of $149.",0.425,0.284,0.425,0.291
rss-d6b17646cb129ab7,Consumer Discretionary,positive,positive,Consumer Discretionary,macro risk,Tesla's stock is up 1% on Friday.,0.598,0.598,0.236,0.166
rss-2e01d00ef5f2dc94,Financials,positive,positive,Financials,macro risk,"The firm noted that, based on impressive growth across defense and […]",0.853,0.853,0.132,0.014
rss-e72294be0e42771d,Healthcare,positive,positive,Healthcare,regulatory risk,"Regulatory developments around pharmacy benefit management and expanded coverage decisions, such as new screening benefits, can support the long term...",0.675,0.675,0.041,0.284
rss-18fd6e2552b744df,Industrials,negative,negative,Industrials,macro risk,"Investing.com -- New York Attorney General Letitia James on Thursday sued several of the nation’s largest chemical manufacturers, including 3M, DuPont, Chemours, Corteva and EIDP, alleging they knowingly caused decades of toxic PFAS contamination through consumer products while concealing the chemicals’ health and environmental risks.",0.828,0.028,0.144,0.828
rss-312bbaecf38d7918,Energy,positive,positive,Energy,commodity risk,"ConocoPhillips (COP) stock recently reacted to renewed conflict between the United States and Iran, as escalating tensions and attacks on commercial ships pushed crude prices higher and sharpened investor focus on the company’s cash flow sensitivity.",0.423,0.423,0.234,0.342
rss-82d0ae37cde38254,Industrials,positive,positive,Industrials,macro risk,Yahoo Finance Breaking News Reporter Jake Conley examines movements in defense stocks that are getting a boost from new contracts with the US government.,0.536,0.536,0.357,0.106
rss-34caa814f54444fd,Materials,negative,negative,Materials,macro risk,"On June 18, BHP Group (NYSE:BHP) warned it is poised to book a $2.3 billion charge due to higher costs and additional labor hours at its Jansen Stage 2 potash project in Canada.",0.632,0.098,0.27,0.632
